concept;feature
mittens;is for children
mittens;does come in pairs
mittens;has a part for thumb
mittens;is clothing
mittens;does keep warm
mittens;made of fabric_cloth_material
mittens;is hard to pick things up
mittens;is on a string
mittens;is worn when cold
mittens;is colourful
mittens;is knitted
mittens;does protect
mittens;has a part for four fingers
mittens;is cute
mittens;is soft
mittens;made of fur
mittens;has a flap
mittens;is cosy
mittens;is for babies
mittens;is for women_females_girls
mittens;is sheepskin
mittens;is woolly
mittens;made of cotton
mittens;made of leather
mittens;made of synthetic materials
monkey;does climb trees
monkey;has a tail
monkey;is related to humans
monkey;is a primate
monkey;has fur_hair
monkey;does swing
monkey;is a mammal
monkey;is an animal
monkey;is clever_intelligent
monkey;does eat
monkey;has a long tail
monkey;does climb
monkey;does eat bananas
monkey;does live in jungles
monkey;has arms
monkey;is funny
monkey;is brown
monkey;is noisy_loud
monkey;does eat fruit
monkey;does live in groups
monkey;has hands
monkey;has legs
monkey;has thumbs
monkey;is cute
monkey;does live in hot countries
monkey;has long arms
monkey;has opposable thumbs
monkey;is agile
monkey;has a mouth
monkey;has balance
monkey;has feet
monkey;has two arms
monkey;has two legs
monkey;is aggressive
monkey;is playful
monkey;does eat anything
monkey;does groom
monkey;does jump
monkey;does make tools
monkey;does share
monkey;has a tail for balance
monkey;has teeth
monkey;is black
monkey;is cunning
monkey;is fast
monkey;is found in zoos
monkey;is ugly
monkey;is used in experiments
moose;has antlers
moose;is an animal
moose;has legs
moose;has four legs
moose;is big_large
moose;is a mammal
moose;is brown
moose;has fur_hair
moose;is found in America
moose;is a deer
moose;is found in Canada
moose;does eat grass
moose;does eat
moose;has horns
moose;is as big as a horse
moose;is found in forests_woods
moose;is found in North America
moose;does live in herds
moose;has hooves
moose;is eaten_edible
moose;is hunted_is prey
moose;is northern
moose;does bellow
moose;does reproduce
moose;does run
moose;has a body
moose;has big antlers
moose;has eyes
moose;has long legs
moose;is herbivorous
mop;is used for cleaning
mop;has a handle_handles
mop;does clean floors
mop;made of fabric_cloth_material
mop;made of plastic
mop;made of wood
mop;has a bucket
mop;is absorbent
mop;has a long handle
mop;does absorb water
mop;has a head
mop;is long
mop;is for spillages
mop;is a tool
mop;is useful
mop;made of metal
mop;is wet
mop;made of string
mop;does mop
mop;is a cleaning tool
mop;is boring
mop;is found in kitchens
mop;is soapy
mop;made of absorbent material
mop;does work
mop;has tassels
mop;is for wiping
mop;is light
mop;is thin
mop;is used by cleaners
mop;made of fibres
mop;made of plastic and cloth
moped;has wheels
moped;has an engine
moped;made of metal
moped;has two wheels
moped;is a bike
moped;is a vehicle
moped;has a seat_seats
moped;is noisy_loud
moped;is slow
moped;made of plastic
moped;is fast
moped;is small
moped;has handlebars
moped;is cheap
moped;does drive_is driven
moped;does carry_transport
moped;does move
moped;does use fuel_diesel_petrol
moped;is a scooter
moped;is for city use
moped;is found in Italy
moped;is low-powered
moped;is ridden
moped;is transport
moped;has brakes
moped;has lights
moped;is dangerous
moped;made of rubber
moped;does park easily
moped;has a mirror
moped;has a pedal_pedals
moped;has an exhaust
moped;has small engine
moped;is a small motorbike
moped;is for one person
moped;is made by Vespa
moped;is not strong
mosquito;is an insect
mosquito;has wings
mosquito;does bite
mosquito;does suck blood
mosquito;does carry malaria
mosquito;is small
mosquito;does suck
mosquito;is annoying
mosquito;has legs
mosquito;has a proboscis
mosquito;does carry disease
mosquito;does live in hot countries
mosquito;does fly
mosquito;does buzz
mosquito;does cause an itch
mosquito;has six legs
mosquito;is a fly
mosquito;is alive
mosquito;is dangerous
mosquito;is dissuaded by nets
mosquito;does kill
mosquito;does live by water
mosquito;is high pitched
mosquito;is nocturnal
mosquito;does hum
mosquito;is a parasite
mosquito;is an animal
mosquito;does lay eggs
mosquito;has an abdomen
mosquito;has eyes
mosquito;is a pest
moss;is green
moss;is a plant
moss;does grow
moss;is found in damp places
moss;is soft
moss;does photosynthesise
moss;is spongy
moss;is wet
moss;does cover rocks
moss;has spores
moss;has leaves
moss;is short
moss;does cover
moss;does cover trees
moss;does grow on walls
moss;is a weed
moss;is found in dark places
moss;does grow in lawns
moss;does reproduce
moss;has a stalk_stem
moss;has roots
moss;has small leaves
moss;is a basic lifeform
moss;is alive
moss;is found in gardens
moss;is found on roofs
moss;is furry
moss;is slippery
moss;is springy
moss;does grow in clumps
moss;does grow in ground
moss;does smell_is smelly
moss;has no flowers
moss;has thin  leaves
moss;has thin stems
moss;is black
moss;is brown
moss;is flat
moss;is found in grass
moss;is like mould
moss;is natural
moss;is small
moss;is yellow
moss;made of plant matter
moth;is an insect
moth;has wings
moth;is attracted to light
moth;does fly
moth;is like a butterfly
moth;has antenna
moth;is nocturnal
moth;does eat clothes
moth;does eat
moth;has legs
moth;does flutter
moth;has fur_hair
moth;is brown
moth;has dust
moth;has six legs
moth;is an animal
moth;is dull in colour
moth;is patterned
moth;does grow from caterpillars
moth;does lay eggs
moth;has a body
moth;is annoying
moth;is small
moth;does like the dark
moth;has eyes
moth;is fragile_delicate
motorcycle;has wheels
motorcycle;has two wheels
motorcycle;is fast
motorcycle;made of metal
motorcycle;has an engine
motorcycle;is dangerous
motorcycle;is a vehicle
motorcycle;is transport
motorcycle;does drive_is driven
motorcycle;does use fuel_diesel_petrol
motorcycle;has a rider
motorcycle;has handlebars
motorcycle;is noisy_loud
motorcycle;has an exhaust
motorcycle;made of plastic
motorcycle;does travel
motorcycle;has a seat_seats
motorcycle;is for one person
motorcycle;does avoid traffic
motorcycle;does go on roads
motorcycle;does require a helmet
motorcycle;does stunts_tricks
motorcycle;has lights
motorcycle;is associated with young drivers
motorcycle;is like a bicycle
motorcycle;does carry two people
motorcycle;has a clutch
motorcycle;has a mirror
motorcycle;has a sidecar
motorcycle;has a tyre_tyres
motorcycle;has brakes
motorcycle;has gears
motorcycle;has indicators
motorcycle;has no roof
motorcycle;has pedals
motorcycle;is entertaining_fun
motorcycle;is shiny
motorcycle;made of materials
motorcycle;made of parts
mouse;is small
mouse;has a tail
mouse;has fur_hair
mouse;does eat
mouse;does eat cheese
mouse;is an animal
mouse;does squeak
mouse;has whiskers
mouse;is a mammal
mouse;is a rodent
mouse;has a long tail
mouse;has ears
mouse;has legs
mouse;has eyes
mouse;has four legs
mouse;is a pet
mouse;does scuttle_scurry
mouse;is a pest
mouse;is fast
mouse;is found in homes_houses
mouse;is found in laboratories
mouse;has a nose
mouse;has feet
mouse;is cute
mouse;is scary
mouse;does bite
mouse;does reproduce
mouse;does run
mouse;has sharp teeth
mouse;has teeth
mouse;is brown
mouse;is eaten_edible
mouse;is hunted by cats
mouse;is vermin
mouse;is white
mouse;does come in colours
mouse;does eat anything
mouse;does eat grain
mouse;does live in holes
mouse;has big ears
mouse;has big eyes
mouse;has paws
mouse;has pink ears
mouse;has pink feet
mouse;has rounded ears
mouse;is annoying
mouse;is caught in traps
mouse;is found in fields
mouse;is grey
mouse;is wild
mug;has a handle_handles
mug;made of ceramic_china_clay_porcelain
mug;does contain_hold
mug;does hold_contain liquid_water
mug;does hold tea
mug;is hot
mug;is used for coffee
mug;is used for drinking
mug;made of plastic
mug;does break
mug;does hold drinks
mug;is cylindrical
mug;is found in kitchens
mug;is useful
mug;has a base
mug;has a rim
mug;has decoration
mug;is a container
mug;is a vessel
mug;is big_large
mug;is circular_round
mug;is handheld
mug;is patterned
mug;is small
mug;made of heat resistant material
mug;does contain hot chocolate
mug;does hold soup
mug;does insulate
mug;does keep warm
mug;is a gift
mug;is collectable
mug;is crockery
mug;is hard
mug;is heavy
mug;is kept on a tree mug
mug;is strong
mug;is used at tea-time
mug;is used in the morning
mug;is watertight_waterproof
mug;made of metal
mushroom;is a fungus
mushroom;has a stalk_stem
mushroom;is eaten_edible
mushroom;is poisonous
mushroom;does grow
mushroom;is tasty
mushroom;has a cap
mushroom;has spores
mushroom;is found in forests_woods
mushroom;is grey
mushroom;is used in cooking
mushroom;does grow in ground
mushroom;is a vegetable
mushroom;is food
mushroom;is hallucinogenic
mushroom;is magic
mushroom;is brown
mushroom;is disgusting_taste bad
mushroom;is found in damp places
mushroom;is grown
mushroom;is rubbery
mushroom;is soft
mushroom;is vegetarian
mushroom;is white
mushroom;has a texture
mushroom;is for soup
mushroom;is found in dark places
mushroom;is fried
mushroom;does come in colours
mushroom;has a strong flavour
mushroom;has gills
mushroom;has protein
mushroom;has varieties
mushroom;is a popular ingredient
mushroom;is button shaped
mushroom;is circular_round
mushroom;is healthy
mushroom;is slimy
mushroom;is small
mushroom;is wild
mussel;has a shell
mussel;is eaten_edible
mussel;is an animal
mussel;is black
mussel;is food
mussel;is found in seas
mussel;is a shellfish
mussel;is a sea creature
mussel;is tasty
mussel;does cling to rocks
mussel;is seafood
mussel;does filter feed
mussel;is a bivalve
mussel;is used in cooking
mussel;has a soft body
mussel;has two shells
mussel;is a clam
mussel;is a mollusc
mussel;is slimy
mussel;is small
mussel;does attach itself to a surface
mussel;has flesh
mussel;is alive
mussel;is boiled
mussel;is oval
mussel;is salty
mussel;made of calcium carbonate
mussel;does eat plankton
mussel;has a beard
mussel;is a crustacean
mussel;is a fish
mussel;is eaten in Brussels
mussel;is expensive
mussel;is grey
mussel;is like an oyster
mussel;is purple
mussel;is white
nail;made of metal
nail;is hit with a hammer
nail;is sharp
nail;does hold things together
nail;has a head
nail;has a point
nail;is small
nail;is hit
nail;has a flat head
nail;is thin
nail;does DIY
nail;has a sharp point
nail;is in a wall
nail;is long
nail;is used to build_used by builders
nail;is useful
nail;is hard
nail;is strong
nail;is used to hang a picture
nail;is for hanging things up
nail;does hold things up
nail;is dangerous
nail;is smooth
nail;is used by carpenters
nail;is used to secure
nail;is used with wood
nail;made of steel
nail;does attach things
nail;does hurt
nail;does pierce
nail;has a circular head
nail;has a shaft
nail;has grooves
nail;is grey
nail;is in a hardware store
nail;is like a screw
nail;is used to make furniture
nail;is used to make items
nail;made of wood
nail_polish;is used on nails
nail_polish;does smell_is smelly
nail_polish;is colourful
nail_polish;is for women_females_girls
nail_polish;made of chemicals
nail_polish;does come in colours
nail_polish;has a brush
nail_polish;has a strong smell
nail_polish;is decorative
nail_polish;is found in a bottle
nail_polish;is liquid
nail_polish;is painted
nail_polish;is shiny
nail_polish;is pretty_attractive_beautiful
nail_polish;is make up
nail_polish;is used on toe nails
nail_polish;is applied
nail_polish;is chipped off
nail_polish;is clear_transparent
nail_polish;is worn
nail_polish;is hard to remove
nail_polish;is in small bottles
nail_polish;is thick
nail_polish;is for special occasions
nail_polish;is sold_bought
nail_polish;does dry
nail_polish;does pour
nail_polish;does protect
nail_polish;does stain
nail_polish;has strong vapour
nail_polish;is bought at the chemist
nail_polish;is expensive
nail_polish;is poisonous
nail_polish;is popular
nail_polish;is red
nail_polish;is sparkly
nail_polish;is ugly
nail_polish;made of alcohol
nail_polish;made of solvent
napkin;made of paper
napkin;is for wiping
napkin;made of fabric_cloth_material
napkin;is rectangular_square
napkin;does fold
napkin;is to wipe your mouth on
napkin;is found on tables
napkin;is white
napkin;is used at meals
napkin;is used for cleaning
napkin;is for wiping food off
napkin;is used when eating
napkin;is placed on laps
napkin;is useful
napkin;does protect
napkin;does protect clothes
napkin;does clean the face
napkin;is flat
napkin;is a serviette
napkin;is absorbent
napkin;is for wiping hands
napkin;is patterned
napkin;is small
napkin;made of linen
napkin;made of tissue
napkin;is disposable
napkin;is in a napkin ring
napkin;is polite
napkin;is soft
napkin;is thin
napkin;is tucked into shirts
napkin;is used in restaurants_cafes
napkin;made of cotton
napkin;does protect from crumbs
napkin;does save mess
napkin;has corners
napkin;has edges
napkin;has embroidery
napkin;has folds
napkin;is clean
napkin;is for spillages
napkin;is formal
napkin;is stained
napkin;is used for origami
napkin;is washed
necklace;is worn around the neck
necklace;is worn
necklace;is jewellery
necklace;made of metal
necklace;is pretty_attractive_beautiful
necklace;is for women_females_girls
necklace;made of beads
necklace;made of gold
necklace;made of silver
necklace;has a chain
necklace;has a clasp
necklace;has a pendant
necklace;has gems
necklace;is expensive
necklace;is decorative
necklace;made of string
necklace;has pearls
necklace;made of precious metals
necklace;is an accessory
necklace;is circular_round
necklace;is long
necklace;made of diamonds
necklace;is a gift
necklace;made of glass
necklace;made of plastic
necklace;has charms
necklace;has links
necklace;is fashionable
necklace;is shiny
necklace;is sentimental
necklace;is short
necklace;is valuable
nectarine;is a fruit
nectarine;is sweet
nectarine;is orange
nectarine;has a stone
nectarine;has skin_peel
nectarine;does grow
nectarine;is juicy
nectarine;is red
nectarine;does grow on trees
nectarine;is circular_round
nectarine;is eaten_edible
nectarine;is smooth
nectarine;is like a peach
nectarine;is yellow
nectarine;has flesh
nectarine;is small
nectarine;is tasty
nectarine;has smooth skin
nectarine;is soft
nectarine;has yellow flesh
nectarine;is healthy
nectarine;has vitamins
nectarine;has a large stone
nectarine;has a stalk_stem
nectarine;has furry skin
nectarine;is apple sized
nectarine;is food
needle;made of metal
needle;is used for sewing
needle;is sharp
needle;has an eye
needle;is small
needle;has a point
needle;is used with thread
needle;is thin
needle;does hurt
needle;is useful
needle;has a hole
needle;is shiny
needle;made of fabric_cloth_material
needle;does stitch
needle;has a sharp point
needle;is a tool
needle;does pierce
needle;is dangerous
needle;is easy to lose
needle;is found in a sewing box
needle;is hard to thread
needle;is inanimate
needle;is long
needle;is lost in haystacks
newspaper;made of paper
newspaper;is for the news
newspaper;is read
newspaper;has a picture_pictures
newspaper;has information
newspaper;has ink
newspaper;has pages
newspaper;is black
newspaper;has advertising
newspaper;is printed
newspaper;is white
newspaper;has articles
newspaper;has headlines
newspaper;has words
newspaper;is black and white
newspaper;is printed every day
newspaper;does fold
newspaper;has stories
newspaper;is flat
newspaper;is thin
newspaper;is written
newspaper;has sport
newspaper;is a type of publication
newspaper;is big_large
newspaper;is delivered
newspaper;is entertaining_fun
newspaper;is politically biased
newspaper;is written by journalists
newspaper;has columns
newspaper;has features
newspaper;is broadsheet
newspaper;is current
newspaper;is light
newspaper;is recyclable
newspaper;is tabloid
newspaper;does report
newspaper;does review
newspaper;has an editor
newspaper;has big pages
newspaper;has cartoons
newspaper;has letters
newspaper;has opinions
newspaper;has puzzles
newspaper;is cheap
newspaper;is free
newspaper;is popular
newspaper;is put in hutches
newspaper;is read on the tube
newspaper;is used to wrap chips
nightingale;is a bird
nightingale;has feathers
nightingale;does sing
nightingale;has a beak
nightingale;is small
nightingale;has wings
nightingale;does fly
nightingale;does lay eggs
nightingale;has a beautiful voice
nightingale;does nest
nightingale;is brown
nightingale;does eat
nightingale;does live in trees
nightingale;has eyes
nightingale;has legs
nightingale;is nocturnal
nightingale;is pretty_attractive_beautiful
nightingale;does eat insects
nightingale;has a head
nightingale;has a tail
nightingale;has claws
nightingale;has feet
nightingale;has two legs
nightingale;is a songbird
nightingale;is a symbol
nightingale;is an animal
nightingale;is grey
nightingale;is noisy_loud
nightingale;is poetic
nightingale;is rare
nose;is used for smelling
nose;is on the face
nose;has nostrils
nose;made of cartilage
nose;has skin
nose;does breathe
nose;has two nostrils
nose;is a body part
nose;has hairs
nose;is in the centre of the face
nose;made of bones
nose;does sneeze
nose;does stick out
nose;has snot
nose;is found in animals
nose;does catch a cold
nose;does run
nose;gets blocked
nose;has a bridge
nose;is a feature
nose;is small
nose;does sniff
nose;has flesh
nose;has hairs inside
nose;is a sense organ
nose;is any size
nose;is blown
nose;is curved
nose;is linked to the sense of taste
nose;is near the mouth
nose;is sensitive
nose;is used to inhale air
nose;does come in shapes
nose;has a point
nose;has a septum
nose;has freckles
nose;has pores
nose;has turbinates
nose;is below the eyes
nose;is broken
nose;is pierced
nose;is triangular
nut;is eaten_edible
nut;has a shell
nut;is hard
nut;is small
nut;does grow on trees
nut;is brown
nut;is tasty
nut;is food
nut;is healthy
nut;has fat
nut;is a seed
nut;is circular_round
nut;has protein
nut;is eaten by squirrels
nut;does grow
nut;is an allergen
nut;is crunchy
nut;is grown
nut;does grow on plants
nut;has a hard shell
nut;has oil
nut;has varieties
nut;is used in cooking
nut;has a kernel
nut;has types
nut;is a hazelnut
nut;is a snack
nut;is a source of energy
nut;is associated with Christmas
nut;is natural
nut;is used in muesli
nut;makes peanut butter
oak;has leaves
oak;is a tree
oak;made of wood
oak;has acorns
oak;is big_large
oak;has a trunk
oak;has roots
oak;has branches
oak;does grow
oak;is strong
oak;is ancient_medieval
oak;is tall
oak;has bark
oak;is deciduous
oak;is found in Britain_UK_England
oak;does photosynthesise
oak;is brown
oak;is found in forests_woods
oak;is hard
oak;is home to animals
oak;is used to make furniture
oak;is a strong wood
oak;is majestic
oak;is used to build_used by builders
oak;is wide
oak;does grow in ground
oak;does lose its leaves in autumn
oak;does need water
oak;does provide shade
oak;has birds
oak;is a plant
oak;is alive
oak;is climbed
oak;is expensive
oak;is green
oak;is planted
oak;is slow-growing
oak;is used for firewood
octopus;is found in seas
octopus;has eight legs
octopus;has legs
octopus;is an animal
octopus;has suckers
octopus;has tentacles
octopus;is eaten_edible
octopus;does swim
octopus;has a head
octopus;is a sea animal
octopus;has eight tentacles
octopus;has eyes
octopus;is big_large
octopus;does squirt ink
octopus;has a big head
octopus;is slimy
octopus;has a beak
octopus;is an invertebrate
octopus;is clever_intelligent
octopus;is like a squid
octopus;does change colour
octopus;has big eyes
octopus;is a fish
octopus;is soft
octopus;does crawl
octopus;does eat
octopus;has a body
octopus;has a round head
octopus;is a cephalopod
octopus;is a mollusc
octopus;is blue
octopus;is camouflaged
octopus;is circular_round
octopus;is fast
octopus;is used to predict world cup results
oil_tanker;does transport oil
oil_tanker;is big_large
oil_tanker;made of metal
oil_tanker;does carry_transport
oil_tanker;is a ship
oil_tanker;has a tank
oil_tanker;is heavy
oil_tanker;is slow
oil_tanker;has wheels
oil_tanker;does drive_is driven
oil_tanker;has a crew
oil_tanker;has an engine
oil_tanker;is found in seas
oil_tanker;does burn
oil_tanker;does cause oil spills
oil_tanker;does float
oil_tanker;is a vehicle
oil_tanker;does get pirated
oil_tanker;does pollute
oil_tanker;does travel long distances
oil_tanker;has a hull
oil_tanker;is dangerous
oil_tanker;is filled with men
oil_tanker;made of steel
oil_tanker;does explode
oil_tanker;has a funnel
oil_tanker;is hard to drive
oil_tanker;is long
oil_tanker;is necessary_essential
oil_tanker;is noisy_loud
oil_tanker;is pressurised
oil_tanker;is strong
oil_tanker;is ugly
oil_tanker;is unwieldy
oil_tanker;made of plastic
olive;is green
olive;is black
olive;has a stone
olive;does grow on trees
olive;has oil
olive;does grow
olive;is a fruit
olive;is small
olive;is circular_round
olive;is grown
olive;is a nibble
olive;is Mediterranean_in Mediterranean cookery
olive;is food
olive;does grow in hot countries
olive;has a seed
olive;is eaten_edible
olive;is tasty
olive;has skin_peel
olive;is bitter
olive;is healthy
olive;is Italian_used in Italian cooking
olive;is used in cooking
olive;has flesh
olive;is a plant
olive;is an acquired taste
olive;is pitted
olive;is pressed
olive;is stored in brine
olive;is stuffed
olive;does make spread
olive;has a hole
olive;has a strong flavour
olive;is brown
olive;is disgusting_taste bad
olive;is eaten in salad
olive;is eaten raw
olive;is Greek
olive;is oily
olive;is red
onion;has layers
onion;does make people cry
onion;is a vegetable
onion;is circular_round
onion;has skin_peel
onion;is red
onion;does smell_is smelly
onion;is used in cooking
onion;is white
onion;does grow
onion;is brown
onion;is eaten_edible
onion;does grow in ground
onion;is tasty
onion;is fried
onion;does flavour
onion;has a strong flavour
onion;is a bulb
onion;is food
onion;made of cells
onion;does grow underground
onion;has roots
onion;has rings
onion;is a plant
onion;is a root vegetable
onion;is an ingredient
onion;is eaten in salad
onion;is grown
onion;is hot_spicy
onion;is sliced
onion;is sold_bought
onion;is sold_bought in supermarkets_shops
orange;is a fruit
orange;is orange
orange;has pips_seeds
orange;has skin_peel
orange;is circular_round
orange;is a citrus fruit
orange;is sweet
orange;has segments
orange;is eaten_edible
orange;does grow on trees
orange;does grow
orange;has pith
orange;is healthy
orange;has vitamins
orange;is juicy
orange;is made into juice
orange;is tasty
orange;does grow in hot countries
orange;has juice
orange;has zest
orange;is peeled
orange;is sour_sharp_acidic
orange;has flesh
orange;has hard_tough skin
orange;is food
orange;is grown
orange;is rough
orchid;is a flower
orchid;has a stalk_stem
orchid;has leaves
orchid;has petals
orchid;is pretty_attractive_beautiful
orchid;has roots
orchid;is a plant
orchid;does photosynthesise
orchid;does grow
orchid;is colourful
orchid;does bloom
orchid;has flowers
orchid;is difficult to grow
orchid;is grown
orchid;is pink
orchid;is rare
orchid;does come in colours
orchid;does smell_is smelly
orchid;does smell good_nice
orchid;has a long stem
orchid;is bought at florists
orchid;is exotic
orchid;is expensive
orchid;is white
orchid;does need water
orchid;has green leaves
orchid;has stamens
orchid;has varieties
orchid;is decorative
orchid;is found in a pot
orchid;is a gift
orchid;is green
orchid;is tropical
orchid;is wild
orchid;does reproduce
orchid;has pollen
orchid;is fragile_delicate
orchid;is indoors
orchid;is purple
organ_(musical_instrument);is a musical instrument
organ_(musical_instrument);is used in church
organ_(musical_instrument);has pipes
organ_(musical_instrument);is played_does play
organ_(musical_instrument);has keys
organ_(musical_instrument);has a pedal_pedals
organ_(musical_instrument);made of wood
organ_(musical_instrument);made of metal
organ_(musical_instrument);does make music
organ_(musical_instrument);is big_large
organ_(musical_instrument);has a keyboard
organ_(musical_instrument);does make sound_a noise
organ_(musical_instrument);is noisy_loud
organ_(musical_instrument);is like a piano
organ_(musical_instrument);does use air
organ_(musical_instrument);has stops
organ_(musical_instrument);is complex
organ_(musical_instrument);is heavy
organ_(musical_instrument);made of wood and metal
organ_(musical_instrument);does play notes
organ_(musical_instrument);does sound nice
organ_(musical_instrument);has many pipes
organ_(musical_instrument);is found in a cathedral
organ_(musical_instrument);is hard to play
organ_(musical_instrument);is played by an organist
ostrich;is a bird
ostrich;has feathers
ostrich;has legs
ostrich;does not fly
ostrich;has long legs
ostrich;is big_large
ostrich;does run
ostrich;does lay eggs
ostrich;has a neck
ostrich;has wings
ostrich;has a long neck
ostrich;is an animal
ostrich;has a beak
ostrich;has big eggs
ostrich;does run fast
ostrich;is found in Africa
ostrich;does bury head in sand
ostrich;has two legs
ostrich;is black
ostrich;is white
ostrich;is eaten_edible
ostrich;is meat
ostrich;is tall
ostrich;is tasty
ostrich;does live in hot countries
ostrich;has eyes
ostrich;is aggressive
ostrich;is black and white
ostrich;is brown
ostrich;is farmed
ostrich;is noisy_loud
otter;is an animal
otter;does swim
otter;is a mammal
otter;has a tail
otter;is brown
otter;does eat
otter;does eat fish
otter;does live in rivers
otter;has fur_hair
otter;has whiskers
otter;has legs
otter;has paws
otter;does live in water
otter;has four legs
otter;is cute
otter;has claws
otter;is found in Britain_UK_England
otter;does play
otter;has a long tail
otter;has teeth
otter;is a good swimmer
otter;is found in seas
otter;is related to weasels
otter;is a carnivore_eats meat
otter;is endangered
otter;is found in zoos
otter;is slim
otter;is watertight_waterproof
oven;is used in cooking
oven;does cook food
oven;is found in kitchens
oven;made of metal
oven;has a door_doors
oven;is hot
oven;has shelves
oven;is electric
oven;does heat
oven;does use gas
oven;is used for baking
oven;has settings
oven;is a kitchen appliance
oven;is an appliance
oven;is big_large
oven;has a dial
oven;made of glass
oven;has a hob
oven;has a timer
oven;has a grill
oven;has buttons
oven;is dangerous
oven;is expensive
oven;is heavy
oven;does warm
oven;has a glass door
oven;has temperature settings
oven;is a cooker
oven;is rectangular_square
oven;is used to roast
oven;made of ceramic_china_clay_porcelain
oven;made of plastic
owl;is nocturnal
owl;is a bird
owl;does rotate head
owl;has feathers
owl;is wise
owl;does eat rodents_mice
owl;has eyes
owl;has wings
owl;does hunt
owl;has big eyes
owl;does hoot
owl;has a beak
owl;does eat
owl;does fly
owl;does live in trees
owl;has talons
owl;has claws
owl;does live in barns
owl;has a sharp beak
owl;has good hearing
owl;is a bird of prey
owl;is white
owl;has a neck
owl;has ears
owl;has good eyesight
owl;is a predator
owl;is brown
owl;does see in the dark
owl;has a small beak
owl;has varieties
owl;is pretty_attractive_beautiful
owl;is soft
owl;does lay eggs
owl;has feet
owl;has invisible ears
owl;has sharp claws
owl;is a carnivore_eats meat
owl;is an animal
owl;is magical
owl;is silent
owl;is tawny
ox;is an animal
ox;has horns
ox;has legs
ox;has fur_hair
ox;is strong
ox;has four legs
ox;has a tail
ox;is a mammal
ox;is big_large
ox;is found on farms
ox;is a cow
ox;does pull
ox;does work
ox;is brown
ox;does pull carts
ox;has ears
ox;is wild
ox;does eat
ox;has eyes
ox;has skin
ox;is found in bible
ox;is heavy
ox;is scary
ox;does eat grass
ox;does live in herds
ox;does moo
ox;is a wild animal
ox;is alive
ox;is bovine
ox;is used to pull a plough
ox;made of bones
ox;does carry_transport
ox;does carry_transport goods
ox;does drink
ox;does pull farm machinery
ox;has a head
ox;has a nose
ox;has a tongue
ox;has big horns
ox;has hooves
ox;has long fur
ox;has thick fur
ox;has thick skin
ox;is aggressive
ox;is eaten_edible
ox;is found in America
ox;is found in Asia
ox;is found on farms in developing world
ox;is meat
ox;is used for oxtail soup
oyster;has a shell
oyster;is found in seas
oyster;is eaten_edible
oyster;has a pearl
oyster;is food
oyster;is expensive
oyster;is slimy
oyster;is a shellfish
oyster;is a mollusc
oyster;is an aphrodisiac
oyster;is tasty
oyster;is alive
oyster;is an animal
oyster;is hard
oyster;is seafood
oyster;is a delicacy
oyster;is soft
oyster;does cling
oyster;does live in water
oyster;is grey
oyster;is salty
oyster;is served in restaurants
oyster;is small
oyster;does cling to rocks
oyster;does filter feed
oyster;has a hard shell
oyster;has a thick shell
oyster;is a bivalve
oyster;is circular_round
oyster;is disgusting_taste bad
oyster;is eaten raw
oyster;is eaten with wine
oyster;is farmed
oyster;is fished
oyster;is flat
oyster;is hard to open
oyster;is like a mussel
oyster;is posh
oyster;is slippery
oyster;is used in cooking
pamphlet;made of paper
pamphlet;has information
pamphlet;is small
pamphlet;has advertising
pamphlet;has a picture_pictures
pamphlet;has pages
pamphlet;has words
pamphlet;is handed out
pamphlet;does fold
pamphlet;is a leaflet
pamphlet;has ink
pamphlet;is free
pamphlet;is light
pamphlet;is a brochure
pamphlet;is sent in the post
pamphlet;is short
pamphlet;has arguments
pamphlet;is a booklet
pamphlet;is colourful
pamphlet;is for events
pamphlet;is given out on holidays
pamphlet;is persuasive
pamphlet;is thrown away
pamphlet;is useful
pamphlet;is written
pamphlet;does provide contact details
pamphlet;has a message
pamphlet;is printed
pamphlet;is read
pamphlet;is rectangular_square
pamphlet;is thin
pamphlet;made of cardboard_card
pamphlet;made of shiny paper
pansy;is a flower
pansy;has petals
pansy;is colourful
pansy;has leaves
pansy;has a stalk_stem
pansy;is pretty_attractive_beautiful
pansy;has roots
pansy;is small
pansy;does grow
pansy;is found in gardens
pansy;does smell good_nice
pansy;does smell_is smelly
pansy;does come in colours
pansy;is a plant
pansy;is grown
pansy;is yellow
pansy;is purple
pansy;does bloom
pansy;does grow in ground
pansy;does grow low down
pansy;does need water
pansy;has pollen
pansy;is common
pansy;is pink
pansy;does need sunlight
pansy;does photosynthesise
pansy;does reproduce
pansy;has big petals
pansy;has seeds
pansy;is alive
pansy;is decorative
pansy;is found in a pot
pansy;is fragile_delicate
pansy;is grown in flower borders
pansy;made of plant matter
panther;is black
panther;is a cat
panther;is an animal
panther;has fur_hair
panther;is big_large
panther;has a tail
panther;does hunt
panther;has legs
panther;is fast
panther;has four legs
panther;has teeth
panther;is a big cat
panther;is a mammal
panther;has paws
panther;has claws
panther;is a predator
panther;is dangerous
panther;has sharp teeth
panther;has whiskers
panther;is a carnivore_eats meat
panther;does live in jungles
panther;does climb
panther;does run
panther;does climb trees
panther;is aggressive
panther;is stealthy
panther;does eat
panther;does growl
panther;has a long tail
panther;has big paws
panther;is agile
panther;is pink
panther;is pretty_attractive_beautiful
panther;is sleek
panther;is solitary
panther;is wild
parakeet;is a bird
parakeet;has feathers
parakeet;is colourful
